snapshot_id,label,as_of,feature_snapshot_hash,polymarket_mean_gap,kalshi_mean_gap,asymmetry_gap
2026-03-20-close,2026-03-20 close,2026-03-20T23:55:00Z,9b0fdbcef32e39096c7cdbd73117eb8e120ee980c415892fc29d2ca557c6984f,0.0594,-0.0221,0.0814
2026-03-21-close,2026-03-21 close,2026-03-21T23:55:00Z,da559f0a32653286ed89c3f96e66e7e523fd417ae7105523ea9510c6830a534e,0.0596,-0.0206,0.0802
2026-03-22-close,2026-03-22 close,2026-03-22T23:55:00Z,23fac3ada617edbfe41a0c65c19f086d4e1fa1ed84280235a23b5fdbe48dcf5a,0.0602,-0.0199,0.0801
2026-03-23-close,2026-03-23 close,2026-03-23T23:55:00Z,90bc0bb8a8ffd8f2dfd609a3ae156fcc2170ba3ecfdf33a38d78c915f330c415,0.0604,-0.0183,0.0787
2026-03-24-close,2026-03-24 close,2026-03-24T23:55:00Z,2915421057bf1b61d3b4a29900f50c4fa1c19faa92f27554df873e1c31de3762,0.0614,-0.0161,0.0775
2026-03-25-close,2026-03-25 close,2026-03-25T23:55:00Z,eb23bd4be1a380556e36425c1ca2e0fbaca584301fb5d6ed25c95d268b91a68e,0.0618,-0.0161,0.0779
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,0.0623,-0.0139,0.0762
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,0.0627,-0.0138,0.0766
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,0.0637,-0.0117,0.0754
2026-03-29-close,2026-03-29 close,2026-03-29T23:55:00Z,c0395554b46544b8655152e6c659af7fcd08fad5267f6fa3d7ac022f7d063045,0.0631,-0.01,0.0731
2026-03-30-close,2026-03-30 close,2026-03-30T23:55:00Z,dcdb62570301e6a7320b49fe0f140a4ee09e053367c8237f30581c4dfd0c3162,0.0637,-0.0095,0.0731
2026-03-31-close,2026-03-31 close,2026-03-31T23:55:00Z,7b2967e7439431e80c6b00664d341310ffe52568d385c9b505f1bc4c0f212854,0.063,-0.0078,0.0708
