snapshot_id,label,as_of,feature_snapshot_hash,category,absolute_gap,share_of_total_gap
2026-03-20-close,2026-03-20 close,2026-03-20T23:55:00Z,9b0fdbcef32e39096c7cdbd73117eb8e120ee980c415892fc29d2ca557c6984f,unemployment,0.0913,0.4081
2026-03-20-close,2026-03-20 close,2026-03-20T23:55:00Z,9b0fdbcef32e39096c7cdbd73117eb8e120ee980c415892fc29d2ca557c6984f,inflation,0.0876,0.3916
2026-03-20-close,2026-03-20 close,2026-03-20T23:55:00Z,9b0fdbcef32e39096c7cdbd73117eb8e120ee980c415892fc29d2ca557c6984f,fed,0.024,0.1073
2026-03-20-close,2026-03-20 close,2026-03-20T23:55:00Z,9b0fdbcef32e39096c7cdbd73117eb8e120ee980c415892fc29d2ca557c6984f,recession,0.0201,0.0899
2026-03-20-close,2026-03-20 close,2026-03-20T23:55:00Z,9b0fdbcef32e39096c7cdbd73117eb8e120ee980c415892fc29d2ca557c6984f,gdp,0.0007,0.0031
2026-03-21-close,2026-03-21 close,2026-03-21T23:55:00Z,da559f0a32653286ed89c3f96e66e7e523fd417ae7105523ea9510c6830a534e,inflation,0.093,0.4165
2026-03-21-close,2026-03-21 close,2026-03-21T23:55:00Z,da559f0a32653286ed89c3f96e66e7e523fd417ae7105523ea9510c6830a534e,unemployment,0.0875,0.3918
2026-03-21-close,2026-03-21 close,2026-03-21T23:55:00Z,da559f0a32653286ed89c3f96e66e7e523fd417ae7105523ea9510c6830a534e,fed,0.0219,0.0981
2026-03-21-close,2026-03-21 close,2026-03-21T23:55:00Z,da559f0a32653286ed89c3f96e66e7e523fd417ae7105523ea9510c6830a534e,recession,0.0193,0.0864
2026-03-21-close,2026-03-21 close,2026-03-21T23:55:00Z,da559f0a32653286ed89c3f96e66e7e523fd417ae7105523ea9510c6830a534e,gdp,0.0016,0.0072
2026-03-22-close,2026-03-22 close,2026-03-22T23:55:00Z,23fac3ada617edbfe41a0c65c19f086d4e1fa1ed84280235a23b5fdbe48dcf5a,inflation,0.099,0.4468
2026-03-22-close,2026-03-22 close,2026-03-22T23:55:00Z,23fac3ada617edbfe41a0c65c19f086d4e1fa1ed84280235a23b5fdbe48dcf5a,unemployment,0.0821,0.3705
2026-03-22-close,2026-03-22 close,2026-03-22T23:55:00Z,23fac3ada617edbfe41a0c65c19f086d4e1fa1ed84280235a23b5fdbe48dcf5a,fed,0.0214,0.0966
2026-03-22-close,2026-03-22 close,2026-03-22T23:55:00Z,23fac3ada617edbfe41a0c65c19f086d4e1fa1ed84280235a23b5fdbe48dcf5a,recession,0.0185,0.0835
2026-03-22-close,2026-03-22 close,2026-03-22T23:55:00Z,23fac3ada617edbfe41a0c65c19f086d4e1fa1ed84280235a23b5fdbe48dcf5a,gdp,0.0006,0.0027
2026-03-23-close,2026-03-23 close,2026-03-23T23:55:00Z,90bc0bb8a8ffd8f2dfd609a3ae156fcc2170ba3ecfdf33a38d78c915f330c415,inflation,0.1045,0.4731
2026-03-23-close,2026-03-23 close,2026-03-23T23:55:00Z,90bc0bb8a8ffd8f2dfd609a3ae156fcc2170ba3ecfdf33a38d78c915f330c415,unemployment,0.0782,0.354
2026-03-23-close,2026-03-23 close,2026-03-23T23:55:00Z,90bc0bb8a8ffd8f2dfd609a3ae156fcc2170ba3ecfdf33a38d78c915f330c415,fed,0.0191,0.0865
2026-03-23-close,2026-03-23 close,2026-03-23T23:55:00Z,90bc0bb8a8ffd8f2dfd609a3ae156fcc2170ba3ecfdf33a38d78c915f330c415,recession,0.0175,0.0792
2026-03-23-close,2026-03-23 close,2026-03-23T23:55:00Z,90bc0bb8a8ffd8f2dfd609a3ae156fcc2170ba3ecfdf33a38d78c915f330c415,gdp,0.0016,0.0072
2026-03-24-close,2026-03-24 close,2026-03-24T23:55:00Z,2915421057bf1b61d3b4a29900f50c4fa1c19faa92f27554df873e1c31de3762,inflation,0.1099,0.5051
2026-03-24-close,2026-03-24 close,2026-03-24T23:55:00Z,2915421057bf1b61d3b4a29900f50c4fa1c19faa92f27554df873e1c31de3762,unemployment,0.0748,0.3438
2026-03-24-close,2026-03-24 close,2026-03-24T23:55:00Z,2915421057bf1b61d3b4a29900f50c4fa1c19faa92f27554df873e1c31de3762,fed,0.0162,0.0744
2026-03-24-close,2026-03-24 close,2026-03-24T23:55:00Z,2915421057bf1b61d3b4a29900f50c4fa1c19faa92f27554df873e1c31de3762,recession,0.0161,0.074
2026-03-24-close,2026-03-24 close,2026-03-24T23:55:00Z,2915421057bf1b61d3b4a29900f50c4fa1c19faa92f27554df873e1c31de3762,gdp,0.0006,0.0028
2026-03-25-close,2026-03-25 close,2026-03-25T23:55:00Z,eb23bd4be1a380556e36425c1ca2e0fbaca584301fb5d6ed25c95d268b91a68e,inflation,0.1153,0.5227
2026-03-25-close,2026-03-25 close,2026-03-25T23:55:00Z,eb23bd4be1a380556e36425c1ca2e0fbaca584301fb5d6ed25c95d268b91a68e,unemployment,0.0716,0.3246
2026-03-25-close,2026-03-25 close,2026-03-25T23:55:00Z,eb23bd4be1a380556e36425c1ca2e0fbaca584301fb5d6ed25c95d268b91a68e,fed,0.0164,0.0743
2026-03-25-close,2026-03-25 close,2026-03-25T23:55:00Z,eb23bd4be1a380556e36425c1ca2e0fbaca584301fb5d6ed25c95d268b91a68e,recession,0.0158,0.0716
2026-03-25-close,2026-03-25 close,2026-03-25T23:55:00Z,eb23bd4be1a380556e36425c1ca2e0fbaca584301fb5d6ed25c95d268b91a68e,gdp,0.0015,0.0068
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,inflation,0.1214,0.5649
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,unemployment,0.0656,0.3053
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,recession,0.0144,0.067
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,fed,0.0134,0.0624
2026-03-26-close,2026-03-26 close,2026-03-26T23:55:00Z,5d912a3ddd101e0c9638288c13f90a1f4c55db37329bd0e81ed00857215b3ab6,gdp,0.0001,0.0005
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,inflation,0.1268,0.5819
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,unemployment,0.0624,0.2864
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,recession,0.0141,0.0647
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,fed,0.0136,0.0624
2026-03-27-close,2026-03-27 close,2026-03-27T23:55:00Z,b3c4709686b93eaf4fffcecf209710b9251c383ad3edeea93b7495bf4912fd6c,gdp,0.001,0.0046
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,inflation,0.1322,0.6166
2026-03-28-close,2026-03-28 close,2026-03-28T23:55:00Z,e7de3a6b9ed24bd83df21066d13258ed4ec38e22b6576f274524a0f10ffe1087,unemployment,0.0589,0.2747
